Game,CPU,GPU,RAM,File Size
Call of Duty: Black Ops - Cold War,Intel Core i5-2500K,NVIDIA GeForce GTX 670,8 GB,175 GB
Call of Duty Black Ops,Intel Core 2 Duo E6600,NVIDIA GeForce 8600 GT,2 GB,12 GB
Stray,Intel Core i5-2300,AMD Radeon R7 360,8 GB,10 GB
The Lab,Intel Core i5-4590,NVIDIA GeForce GTX 970,4 GB,Unknown
The Isle,Intel Core 2 Quad Q9650,NVIDIA GeForce GTX 960,8 GB,25 GB
Middle-earth: Shadow of War,Intel Core i5-2300,NVIDIA GeForce GTX 660,6 GB,70 GB
Buckshot Roulette,Intel Core i3-2340UE,NVIDIA GeForce GTX 1060,2 GB,512 MB
Until Dawn,Intel Core i7-4790K,NVIDIA GeForce GTX 1660,8 GB,70 GB
DYNASTY WARRIORS: ORIGINS,Intel Core i5-8400,NVIDIA GeForce GTX 1060,12 GB,50 GB
PRO EVOLUTION SOCCER 2018,Intel Core i5-3450,AMD Radeon HD 7750,8 GB,30 GB
Diablo 2: Resurrected,Intel Core i3-3250,NVIDIA GeForce GTX 660,8 GB,30 GB
Street Fighter 6,Intel Core i5-7500  / Ryzen 3 1200,NVIDIA GeForce GTX 1060  / Radeon RX 580,8 GB,60 GB
Risk of Rain 2,Intel Core i3-6100  / FX-8350,NVIDIA GeForce GTX 580  / Radeon HD 7870,4 GB,4 GB
Farming Simulator 22,Intel Core i5-3330,NVIDIA GeForce GTX 660,8 GB,35 GB
Deep Rock Galactic,Intel Core i5-12400T,Unknown,6 GB,3 GB
Game of Thrones: Kingsroad,Intel Core i5-2500K,NVIDIA GeForce GTX 1060,8 GB,60 GB
Tomb Raider,Intel Core 2 Duo Q6867,Unknown,1 GB,12 GB
Dead Space,Intel Core i5-6500  / Ryzen 5 2600X,NVIDIA GeForce GTX 970  / Radeon RX 5700,8 GB,50 GB
Battlefield 3,Intel Core 2 Duo T7250,ATI Radeon 3000,2 GB,20 GB
Need for Speed Rivals,Intel Core 2 Duo E4600,Intel HD 4000,4 GB,30 GB
Adobe Illustrator,Unknown,Unknown,Unknown,Unknown
UFL,Intel Core i7-6700K,Unknown,12 GB,30 GB
Left 4 Dead 2,Intel Pentium 4 3.00GHz,NVIDIA GeForce 6600,2 GB,13 GB
Two Point Museum,Intel Core i3-8100,Unknown,6 GB,8 GB
Call of Duty,Intel Pentium III 1400 @ 1400MHz,Unknown,128 MB,4 GB
Poppy Playtime,Intel Core i5-12400T,AMD Radeon RX 580,8 GB,20 GB
Asphalt 9: Legends,Intel Core i3-3110M,AMD Radeon HD 6570,8 GB,10 GB
CarX Streets,Intel Core i5-8400,AMD Radeon RX 570,8 GB,20 GB
Deadlock,Intel Core i5-3570K  / Ryzen 5 1400,NVIDIA GeForce GTX 960,8 GB,22.5 GB
Stardew Valley,Intel Core 2 Duo E8400,Intel HD 3000,2 GB,500 MB
DARK SOULS II,Intel Core 2 Duo E8500,ATI Radeon HD 5870,2 GB,12 GB
The Elder Scrolls Online,Intel Core i3-540,AMD Radeon HD 6850,3 GB,85 GB
Counter-Strike,Intel Core 2 Duo E7400,NVIDIA GeForce 8600 GT,4 GB,4 GB
Need For Speed Payback,Intel Core i3-6300,NVIDIA GeForce GTX 750 Ti,6 GB,30 GB
Batman: Arkham City,Intel Core 2 Duo E4600,NVIDIA GeForce 8800 GT,2 GB,17 GB
F1® 22,Intel Core i5-9600K,AMD Radeon RX 470,8 GB,80 GB
Mafia II,Intel Core 2 Duo E8400,ATI Radeon HD 2600 PRO,4 GB,8 GB
PRO EVOLUTION SOCCER 2019,Intel Core i5-3470,NVIDIA GeForce GTX 670,4 GB,30 GB
World War Z,AMD A10-5700,ATI Radeon HD 5870,8 GB,35 GB
The First Descendant,Intel Core i5-3570  / FX-8350,NVIDIA GeForce GTX 1050 Ti  / Radeon RX 570,8 GB,50 GB
Path of Exile,Intel Core 2 Duo E8400,NVIDIA GeForce GTX 650,4 GB,20 GB
Planet Coaster 2,Intel Core i5-6600K  / Ryzen 5 2600,NVIDIA GeForce GTX 1060 6GB  / GeForce FX 5600XT,16 GB,25 GB
Fall Guys,Intel Core i5-2300  / Ryzen 3 1200,NVIDIA GeForce GTX 660  / Radeon HD 7950,8 GB,2 GB
Star Wars Jedi: Fallen Order,Intel Core i3-3220,AMD Radeon HD 7750,8 GB,55 GB
RESIDENT EVIL 3,Intel Core i5-4460  / FX-6300,NVIDIA GeForce GTX 960  / Radeon RX 460,8 GB,45 GB
Control,Intel Core i5-4690,AMD Radeon R9 280X,8 GB,42 GB
Atlas Fallen,Intel Core i5-6600K,NVIDIA GeForce GTX 1050 Ti,8 GB,35 GB
Cricket 19,Intel Core i3-3210,AMD Radeon HD 6670,4 GB,25 GB
Dead Island 2,AMD FX-9590,AMD Radeon RX 480,10 GB,70 GB
Lust 'n Dead ?,Intel Core i5-12400T,Unknown,8 GB,8 GB
7 Days to Die,Intel Core 2 Duo E8400,AMD Radeon HD 5450,6 GB,4 GB
American Truck Simulator,Intel Core 2 Duo E4600,Intel HD 4000,4 GB,3 GB
Teardown,Intel Core i5-1300F,NVIDIA GeForce GTX 1060,4 GB,4 GB
Ranch Simulator,Intel Core i5-3570K,Unknown,8 GB,15 GB
Outer Wilds,Intel Core i5-2300,Unknown,6 GB,8 GB
Sniper Elite: Resistance,Intel Core i5-9400F,NVIDIA GeForce RTX 2060,16 GB,90 GB
FINAL FANTASY XV,Intel Core i5-2500,AMD Radeon R9 280,8 GB,100 GB
Frostpunk 2,Intel Core i5-3210M  / Ryzen 5 5600H,NVIDIA GeForce GTX 1050 Ti  / Radeon RX 550,8 GB,30 GB
Assassin's Creed Syndicate,Intel Core i5-2400S,NVIDIA GeForce GTX 660,6 GB,50 GB
The Forever Winter,Intel Core i7-9700,NVIDIA GeForce RTX 2080 SUPER,16 GB,87 GB
Call of Duty Ghosts,Intel Core 2 Duo E8400,NVIDIA GeForce 510,4 GB,Unknown
Avatar: Frontiers of Pandora,Intel Core i7-8700K  / Ryzen 5 3600,NVIDIA GeForce GTX 1070  / Radeon RX 5700,16 GB,90 GB
Infinity Nikki,Intel Core i5-6600,Intel Arc A380,16 GB,60 GB
The Witcher 4,Intel Core i5-10600K,NVIDIA GeForce RTX 2070,16 GB,100 GB
Titanfall 2,Intel Core i3-6300T,AMD Radeon HD 7850,8 GB,45 GB
World of Tanks,Intel Pentium E2180,NVIDIA GeForce 8600 GT  / Radeon HD 4550,3 GB,70 GB
Batman: Arkham Origins,Intel Core 2 Duo E4600,ATI Radeon HD 3850,2 GB,Unknown
HoneySelect2Libido DX,Intel Pentium 4 2.00GHz,AMD Radeon HD 5450,4 GB,15 GB
Unity Testing Grounds,Intel Pentium 4 2.00GHz,Intel Media Accelerator 500,512 MB,500 MB
Black Desert Online,Intel Core i3-530,ATI Radeon HD 3870,4 GB,27 GB
Fallout New Vegas,Intel Core 2 Duo T5750,AMD Radeon X1300,2 GB,10 GB
ASTRONEER,Intel Core Duo T2450,NVIDIA GeForce 8500 GT,4 GB,2 GB
iRacing,Intel Core i5-4430,AMD Radeon HD 7850,2 GB,16 GB
MiSide,Intel Core i5-2300,Unknown,4 GB,2 GB
WWE 2K24,Intel Core i5-3550,AMD Radeon RX 480,8 GB,90 GB
DARK SOULS: Prepare To Die Edition,Intel Core 2 Duo E6850,AMD GeForce 9800 GTX,2 GB,4 GB
Bazaar,Intel Core i3-330E,AMD Radeon Pro 450,4 GB,100 MB
Terraria,Intel Core 2 Duo T5750,Intel HD 3000,2.5 GB,200 MB
NARAKA: BLADEPOINT,AMD FX-6300,Unknown,8 GB,55 GB
Dark and Darker,Intel Core 2 Quad Q9705,AMD Radeon RX 580  / GeForce GTX 1060,8 GB,12 GB
Hades II,Intel Core i5-3210M,NVIDIA GeForce GTX 950  / Radeon R7 360 / HD 630,8 GB,10 GB
METAL GEAR SOLID V: THE PHANTOM PAIN,Intel Core i5-4460,NVIDIA GeForce GTX 650,4 GB,28 GB
State of Decay 2,Intel Core i5-2500,Unknown,8 GB,30 GB
Disco Elysium,Intel Core 2 Duo Q6867,AMD Radeon HD 5450,2 GB,20 GB
GTFO,Intel Core i5-2500K,AMD Radeon HD 7850,8 GB,15 GB
Shadow of the Tomb Raider,Intel Core i3-3220,NVIDIA GeForce GTX 660,8 GB,40 GB
No Rest for the Wicked,Intel Core i5-8400  / Ryzen 5 2600,NVIDIA GeForce GTX 970  / Radeon RX Vega 56,16 GB,35 GB
Little Nightmares,Intel Core i3-2340UE,NVIDIA GeForce GTX 460,4 GB,10 GB
FIFA 20,AMD Phenom II X4 965,NVIDIA GeForce GTX 660,8 GB,50 GB
SMITE 2,Intel Core 2 Duo Q6867,NVIDIA GeForce 8800 GT,4 GB,30 GB
Grounded,Intel Core i3-3225,NVIDIA GeForce GTX 650 Ti,4 GB,8 GB
Metaphor: ReFantazio,Intel Core i5-3470,Unknown,6 GB,93 GB
 Final Fantasy 7 Remake Intergrade,AMD FX-8350,AMD Radeon RX 480,8 GB,100 GB
Drive Beyond Horizons,Intel Core i5-6600,NVIDIA GeForce GTX 1650,8 GB,Unknown
Yakuza 0,Intel Core i5-3470,Unknown,4 GB,Unknown
Atomic Heart,Intel Core i5-2500,AMD Radeon R9 380,8 GB,90 GB
STAR WARS Battlefront 2,Intel Core i5-6600K,AMD Radeon HD 7850,8 GB,60 GB
Lego Star Wars The Skywalker Saga,Intel Core i5-2400,AMD Radeon HD 7850,8 GB,40 GB
Streamer Life Simulator,Intel Core 2 Duo Q6867,Intel HD 4000,4 GB,5 GB
Crysis Remastered,Intel Core i5-3450,AMD Radeon RX 470,8 GB,20 GB
NINJA GAIDEN 2 Black,Intel Core i5-8400,Unknown,12 GB,85 GB
WWE 2K16,Intel Core i3-2105,ATI Radeon HD 5870,4 GB,44 GB
Mafia: The Old Country,Intel Core i7-9700K  / Ryzen 7 2700X,NVIDIA GeForce RTX 2070  / Radeon RX 5700 XT,16 GB,55 GB
Sid Meier’s Civilization 6,Intel Core i3-3120M,AMD Radeon HD 5570,4 GB,12 GB
"Warhammer 40,000: Darktide",Intel Core i5-6600  / Ryzen 5 2600,NVIDIA GeForce GTX 970  / Radeon RX 570,8 GB,50 GB
PGA TOUR 2K25,Intel Core i5-6600K,AMD Radeon RX 570,8 GB,30 GB
Mad Max,Intel Core i5-650,Unknown,6 GB,32 GB
Amenti,Intel Core i5-3470,Unknown,6 GB,6 GB
RoadCraft,Intel Core i5-8400  / Ryzen 5 1500X,NVIDIA GeForce GTX 1060  / Radeon RX 590,8 GB,40 GB
FIFA 21,Intel Core i3-6100,NVIDIA GeForce GTX 660,8 GB,50 GB
Guild Wars 2,Intel Core i3-4130,NVIDIA GeForce GTX 680  / Radeon HD 7970,8 GB,70 GB
PAYDAY 2,Intel Core Duo T2450,AMD Radeon HD 6450,4 GB,31 GB
Halo: The Master Chief Collection,AMD Phenom II X4 960T,AMD Radeon HD 6850,4 GB,43 GB
Hades,Intel Core 2 Duo Q6867,NVIDIA GeForce 8500 GT,4 GB,15 GB
ARMORED CORE VI FIRES OF RUBICON,Intel Core i7-4790K  / Core i5-8400,AMD Radeon RX 480  / GeForce GTX 1650,12 GB,60 GB
METAL GEAR RISING: REVENGEANCE,Intel Core i5-2400,NVIDIA GeForce GTS 450,2 GB,25 GB
Assetto Corsa EVO,Intel Core i7-8700K,NVIDIA GeForce GTX 1070,16 GB,100 GB
Call of Duty Advanced Warfare,Intel Core i3-530,ATI Radeon HD 5870,6 GB,55 GB
JUMP FORCE,Intel Core i5-2300,NVIDIA GeForce GTX 660,4 GB,17 GB
Palia,Intel Core i5-4670K,NVIDIA GeForce GTX 660,4 GB,22 GB
Remnant 2,Intel Core i5-7600,NVIDIA GeForce GTX 1650,16 GB,80 GB
Horizon Zero Dawn,Intel Core i5-2500K,NVIDIA GeForce GTX 780,8 GB,100 GB
Grand Theft Auto: San Andreas – The Definitive Edition,Intel Core i5-6600K,AMD Radeon R9 280,8 GB,19 GB
DRAGON BALL Z: KAKAROT,Intel Core i5-2400,NVIDIA GeForce GTX 750 Ti,4 GB,36 GB
Far Cry Primal,Intel Core i3-550,ATI Radeon HD 5770,4 GB,20 GB
SONIC X SHADOW GENERATIONS,Intel Core i3-2120,Unknown,8 GB,3 GB
Outlast,Intel Core 2 Duo Q6867,NVIDIA GeForce 9800 GTX+,2 GB,5 GB
The Evil Within,Intel Core i7-610,NVIDIA GeForce GTX 460,4 GB,50 GB
The Crew Motorfest ,Intel Core i5-4460,NVIDIA GeForce GTX 1060,8 GB,40 GB
Stellaris,AMD FX-6350,NVIDIA GeForce GTX 460,4 GB,10 GB
The Outlast Trials,Intel Core i7-3770,AMD Radeon R7 360,8 GB,40 GB
Content Warning,Intel Core i5-3210M,NVIDIA GeForce GTX 1050 Ti  / Radeon R9 380,8 GB,4 GB
Sniper Elite 5,Intel Core i3-8100,AMD Radeon R5 M330,8 GB,85 GB
Middle-earth: Shadow of Mordor,Intel Core i5-750,Unknown,3 GB,44 GB
Dragon Age Inquisition,Intel Core 2 Quad Q6600,NVIDIA GeForce 8800 GT,4 GB,26 GB
Resident Evil 6 / Biohazard 6,Intel Pentium 4 4.00GHz,NVIDIA GeForce 256,2 GB,16 GB
PAYDAY 3,Intel Core i5-9400F,NVIDIA GeForce GTX 1650,16 GB,Unknown
F1 2020,Intel Core i3-2130,AMD Radeon HD 7750,8 GB,80 GB
Watch Dogs Legion,Intel Core i5-4460,NVIDIA GeForce GTX 970,8 GB,45 GB
Adobe Lightroom,Intel Core i3-2120,NVIDIA GeForce GTX 960,4 GB,2 GB
Mass Effect Legendary Edition,Intel Core i5-3570  / FX-8350,NVIDIA GeForce GTX 760  / Radeon HD 7970,8 GB,120 GB
GTA Trilogy,Intel Core i5-6600K,NVIDIA GeForce GTX 760,8 GB,45 GB
Age of Empires II: Definitive Edition,Intel Core 2 Duo Q6867,AMD Radeon HD 6850,4 GB,15 GB
Hunt Showdown,AMD Ryzen 5 2600,Unknown,8 GB,75 GB
FOR HONOR,Intel Core i3-550,NVIDIA GeForce GTX 750 Ti,4 GB,40 GB
Pathfinder: Wrath of the Righteous,Intel Core i3-2310M,NVIDIA GeForce 940M,6 GB,50 GB
Age of Mythology: Retold,Intel Core i3-4130  / FX-4350,NVIDIA GeForce GTX 645  / Radeon Vega 8,8 GB,25 GB
Foundation,Intel Core i5-4460,NVIDIA GeForce GTX 960,8 GB,Unknown
The Walking Dead: The Telltale Definitive Series,Intel Core 2 Duo Q6867,NVIDIA GeForce GTS 450,3 GB,45 GB
War Robots: Frontiers,Intel Core i5-3470,NVIDIA GeForce GTX 660,8 GB,10 GB
My Summer Car,Intel Core 2 Duo Q6867,Unknown,6 GB,1 GB
Forza Motorsport,Intel Core i5-8400,NVIDIA GeForce GTX 1070,16 GB,110 GB
Train Sim World® 5,Intel Core i5-4690,Unknown,8 GB,35 GB
Tiny Glade,Intel Core i5-760,AMD Radeon R9 270,4 GB,3 GB
Wolfenstein: The New Order,Intel Core i7-610,AMD Radeon HD 6850,4 GB,50 GB
Heavy Rain,Intel Core i5-4430,AMD Radeon HD 7870,4 GB,35 GB
Portal with RTX,Intel Core i7-6700  / Ryzen 5 3600,NVIDIA GeForce RTX 3060,16 GB,25 GB
Cricket 22,Intel Core i3-2340UE,Unknown,8 GB,45 GB
Nymphomaniac - Sex Addict,Intel Core i5-6500,NVIDIA GeForce GTX 1050,8 GB,17 GB
Diablo 3,AMD Athlon 64 X2 5600+,AMD Radeon X1950 Pro,1 GB,12 GB
Need for Speed: Most Wanted (2005),AMD Athlon XP 1700+,ATI Radeon 7500,1 GB,3 GB
Borderlands 2,Intel Core 2 Duo T7700,ATI Radeon HD 2600 PRO,2 GB,13 GB
theHunter: Call of the Wild,Intel Core i3-4170,NVIDIA GeForce GTX 660,4 GB,60 GB
GUILTY GEAR -STRIVE-,Intel Core i5-3450,AMD Radeon HD 6870,4 GB,26 GB
Combat Master,Intel Core 2 Duo E6600,ATI FireMV 2400 PCIe,4 GB,1 GB
Farlight 84,Intel Core i3-6300,AMD Radeon HD 7730,6 GB,10 GB
DCS World Steam Edition,Intel Core i5-1300F,Unknown,16 GB,200 GB
Le Mans Ultimate,Intel Core i5-4460,Unknown,8 GB,30 GB
DRAGON BALL XENOVERSE 2,Intel Core i5-3570,Unknown,4 GB,Unknown
Call of Duty: World at War,Intel Core 2 Duo E8400,AMD Radeon X1600,1 GB,8 GB
Assassin's Creed 2,Intel Core 2 Duo Q6867,ATI FireMV 2400 PCIe,4 GB,8 GB
PC Building Simulator,Intel Core i5-2500K,NVIDIA GeForce GTX 660,4 GB,30 GB
Fallout 3,Intel Pentium 4 2.40GHz,NVIDIA GeForce 6800,1 GB,7 GB
RENNSPORT,Intel Core i7-6700K,NVIDIA GeForce RTX 2070,16 GB,100 GB
IGI : Origins,Intel Core i5-12400T,Unknown,4 GB,Unknown
